"","common name","scientific name","kingdom","phylum","class","order","family","genus","longitude","latitude","ssp","Depth method","S Thermal safety margin","S Conservation status","S Vertical habitat","S Cumulative impacts","AC Habitat fragmentation","AC Geographic range extent","AC Maximum body length","AC Thermal habitat availability","E Time of climate emergence","E Thermal habitat loss","E Fraction of species lost","E Climate velocity","Sensitivity","Sensitivity SD","Adaptive capacity","Adaptive capacity SD","Exposure","Exposure SD","Vulnerability","Vulnerability SD","S Thermal safety margin risk","S Conservation status risk","S Vertical habitat risk","S Cumulative impacts risk","AC Habitat fragmentation risk","AC Geographic range extent risk","AC Maximum body length risk","AC Thermal habitat availability risk","E Time of climate emergence risk","E Thermal habitat loss risk","E Fraction of species lost risk","E Climate velocity risk","Sensitivity risk","Adaptive capacity risk","Exposure risk","Overall Risk"
"22","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-58.875,68.375,"SSP5-8.5","SST",0.002480377,0,0.126818291,0.71672069,0.966495335,0.205094997,0.504152423,0.192990866,0.069483451,0.337220067,0.432741341,0.097622236,0.21150484,0.341974848,0.467183405,0.362652724,0.234266774,0.178714677,0.358145056,0.428629118,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"23","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-66.625,68.125,"SSP5-8.5","SST",0.002790227,0,0.969452305,0.446435469,0.966495335,0.205094997,0.504152423,0.187849703,0.069483451,0.337220067,0.588362326,0.010587874,0.3546695,0.460430366,0.465898114,0.363955196,0.25141343,0.265827515,0.408811039,0.35782707,"Low","Low","Critical","Moderate","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"24","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-59.375,68.125,"SSP5-8.5","SST",0.002414218,0,0.078237986,0.721121227,0.966495335,0.205094997,0.504152423,0.187834488,0.069483451,0.337220067,0.402709018,0.007412914,0.200443358,0.349014172,0.465894311,0.363959071,0.204206363,0.194913548,0.360025283,0.43511366,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"25","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-59.125,68.125,"SSP5-8.5","SST",0.002474761,0,0.111804888,0.716937089,0.966495335,0.205094997,0.504152423,0.190075735,0.069483451,0.337220067,0.415664925,0.014410987,0.207804185,0.343402063,0.466454622,0.36338959,0.209194858,0.197045152,0.36065064,0.419532021,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"26","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-58.875,68.125,"SSP5-8.5","SST",0.002506797,0,0.13622709,0.726620808,0.966495335,0.205094997,0.504152423,0.2010735,0.069483451,0.337220067,0.422971366,0.106352342,0.216338674,0.346088724,0.469204064,0.36063259,0.234006807,0.172939468,0.356412524,0.432643966,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"27","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-58.625,68.125,"SSP5-8.5","SST",0.002518411,0,0.121711223,0.743925755,0.966495335,0.205094997,0.504152423,0.203874229,0.069483451,0.337220067,0.436602855,0.201081725,0.217038847,0.355819265,0.469904246,0.35994053,0.261097025,0.160119343,0.358359097,0.511989821,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Moderate","Moderate","High","Moderate","Moderate"
"28","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-59.375,67.875,"SSP5-8.5","SST",0.002414632,0,0.078237986,0.721013378,0.966495335,0.205094997,0.504152423,0.187373355,0.069483451,0.337220067,0.404744049,0.002440926,0.200416499,0.348960462,0.465779027,0.364076558,0.203472123,0.197286093,0.360679048,0.435455769,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"29","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-59.125,67.875,"SSP5-8.5","SST",0.002328757,0,0.123013161,0.71601652,0.966495335,0.205094997,0.504152423,0.189513614,0.069483451,0.337220067,0.417740382,0.006879036,0.21033961,0.341977734,0.466314092,0.363532179,0.207830734,0.20027083,0.361533084,0.415283463,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"30","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-58.875,67.875,"SSP5-8.5","SST",0.002312178,0,0.131985533,0.74565199,0.966495335,0.205094997,0.504152423,0.192232146,0.069483451,0.337220067,0.418272371,0.014063132,0.219987425,0.355829804,0.466993725,0.362844088,0.209759756,0.19807259,0.36272348,0.413359285,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"31","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-58.625,67.875,"SSP5-8.5","SST",0.002362823,0,0.138425783,0.756981523,0.966495335,0.205094997,0.504152423,0.198947555,0.069483451,0.337220067,0.420276254,0.045923182,0.224442532,0.360874173,0.468672577,0.36116065,0.218225739,0.188676531,0.360949398,0.412868714,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
